date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:39	64480/64480	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2022:26:40%20GMT	https://kindflow-template.webflow.io/home	E:/suyanV1/suyan/kindflow-template.webflow.io/home.html	(from )
22:08:39	155/155	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2017%20Feb%202025%2019:08:38%20GMT	https:////kindflow-template.webflow.io/about	E:/suyanV1/suyan/kindflow-template.webflow.io/about.1.delayed	(from )
22:08:40	20/20	---MCZ	200	added ('OK')	text/plain	date:Mon,%2017%20Feb%202025%2018:15:12%20GMT	https://kindflow-template.webflow.io/robots.txt		(from )
22:08:40	217207/217207	---M-Z	200	added ('OK')	text/css	etag:%226ce4e4d026956a4f093471dd3948e992%22	https://cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/css/kindflow-template.webflow.33ae4aea2.css	E:/suyanV1/suyan/cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/css/kindflow-template.webflow.33ae4aea2.css	(from https://kindflow-template.webflow.io/home)
22:08:41	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	E:/suyanV1/suyan/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://kindflow-template.webflow.io/home)
22:08:41	1176/1176	---M--	200	added ('OK')	image/png	etag:%22f17292ae17be50efa11b7e07fcfe0ddb%22	https://cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/676d2b293baaf56ad4734129_kindflow-favicon.png	E:/suyanV1/suyan/cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/676d2b293baaf56ad4734129_kindflow-favicon.png	(from https://kindflow-template.webflow.io/home)
22:08:42	29986/29986	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202025%2002:30:45%20GMT	https://kindflow-template.webflow.io/volunteers	E:/suyanV1/suyan/kindflow-template.webflow.io/volunteers.html	(from https://kindflow-template.webflow.io/home)
22:08:42	43909/43909	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2006:30:23%20GMT	https://kindflow-template.webflow.io/about	E:/suyanV1/suyan/kindflow-template.webflow.io/about-2.html	(from https://kindflow-template.webflow.io/home)
22:08:42	41129/41129	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202025%2014:03:16%20GMT	https://kindflow-template.webflow.io/causes	E:/suyanV1/suyan/kindflow-template.webflow.io/causes.html	(from https://kindflow-template.webflow.io/home)
22:08:42	25716/25716	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2014:26:49%20GMT	https://kindflow-template.webflow.io/events	E:/suyanV1/suyan/kindflow-template.webflow.io/events.html	(from https://kindflow-template.webflow.io/home)
22:08:43	29653/29653	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202025%2002:29:07%20GMT	https://kindflow-template.webflow.io/fundraise	E:/suyanV1/suyan/kindflow-template.webflow.io/fundraise.html	(from https://kindflow-template.webflow.io/home)
22:08:43	35044/35044	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202025%2009:11:03%20GMT	https://kindflow-template.webflow.io/donation	E:/suyanV1/suyan/kindflow-template.webflow.io/donation.html	(from https://kindflow-template.webflow.io/home)
22:08:43	36020/36020	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2013:34:41%20GMT	https://kindflow-template.webflow.io/blog	E:/suyanV1/suyan/kindflow-template.webflow.io/blog.html	(from https://kindflow-template.webflow.io/home)
22:08:44	26140/26140	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202025%2009:11:18%20GMT	https://kindflow-template.webflow.io/contact	E:/suyanV1/suyan/kindflow-template.webflow.io/contact.html	(from https://kindflow-template.webflow.io/home)
22:08:44	75520/75520	---M--	200	added ('OK')	image/jpeg	etag:%226097e6b17e525af2e18a89f664e64469%22	https://cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/676b851b20f18c880f11e909_feature-card-1.jpg	E:/suyanV1/suyan/cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/676b851b20f18c880f11e909_feature-card-1.jpg	(from https://kindflow-template.webflow.io/home)
22:08:45	224383/224383	---M--	200	added ('OK')	image/jpeg	etag:%22a78db874a10a20631bd94b3d4f18f2be%22	https://cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/66aa29ba0e69338da4fd9db5_feature-card-2.jpg	E:/suyanV1/suyan/cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/66aa29ba0e69338da4fd9db5_feature-card-2.jpg	(from https://kindflow-template.webflow.io/home)
22:08:45	119493/119493	---M--	200	added ('OK')	image/jpeg	etag:%22418e096b4a75d86c4bb194faf0215452%22	https://cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/66aa2fc8b3249f85f4db96f7_about-home-1.jpg	E:/suyanV1/suyan/cdn.prod.website-files.com/66a8bc9010054ff044b7ed6b/66aa2fc8b3249f85f4db96f7_about-home-1.jpg	(from https://kindflow-template.webflow.io/home)
